timestamp,open,high,low,close,volume
2018-09-12,214.5400,215.4300,214.1500,214.5900,3476492
2018-09-11,214.0400,215.8700,212.7600,215.1000,3537437
2018-09-10,215.0000,216.2700,214.4200,215.1100,4137193
2018-09-07,212.5000,214.4700,212.5000,214.0400,4050145
2018-09-06,211.6000,213.4000,211.5700,212.8800,3601837
2018-09-05,209.8100,212.4600,209.4900,212.2600,3709175
2018-09-04,209.2100,210.1000,208.0400,210.0500,2775753
2018-08-31,210.0000,210.3000,208.1000,208.7200,4526229
2018-08-30,211.0800,211.3000,209.6700,209.7500,4737887
2018-08-29,211.0000,211.3200,210.1800,211.2700,3176896
2018-08-28,210.8800,211.2000,210.0100,210.7700,2885193
2018-08-27,208.5600,210.7500,208.5200,210.5100,3166684
2018-08-24,207.7500,208.1600,207.3300,207.9800,2415798
2018-08-23,207.5800,207.7900,206.6600,207.2400,2363028
2018-08-22,207.6300,207.9700,206.9600,207.3300,2454554
2018-08-21,208.8100,209.3500,208.1000,208.4900,2665299
2018-08-20,208.4300,209.5350,207.8300,208.4600,2527289
2018-08-17,207.5700,208.4700,206.9200,208.1400,2749926
2018-08-16,205.3900,207.6200,204.6000,207.5600,3576514
2018-08-15,205.0100,205.4886,203.5700,204.5000,3547235
2018-08-14,205.3000,206.4800,204.9000,205.8300,2774546
2018-08-13,206.6300,207.0100,205.0400,205.1700,3839030
2018-08-10,207.3000,207.7700,205.5900,206.6300,4383121
2018-08-09,209.0000,209.6500,208.7200,209.1000,4685687
2018-08-08,208.8100,209.7100,208.4300,208.9400,3869280
2018-08-07,207.5000,209.9400,207.1527,208.7200,6160126
2018-08-06,204.8900,208.1100,204.6200,206.0600,6673114
2018-08-03,198.5000,200.4200,198.1200,200.2400,5027974
2018-08-02,197.2000,198.7600,196.7700,198.0600,3269861
2018-08-01,198.8000,199.7000,197.3200,197.8500,4004619
2018-07-31,199.0000,199.5363,197.0600,197.8700,4911689
2018-07-30,197.8000,199.9100,197.8000,199.0900,3988269
2018-07-27,198.0000,198.9000,197.1800,197.9500,3943734
2018-07-26,198.2700,198.9900,197.2800,197.4600,3766316
2018-07-25,198.2100,198.2100,196.8100,197.6100,3783484
2018-07-24,198.4500,199.9600,198.2200,198.4600,3346568
2018-07-23,196.2500,198.8700,196.2001,197.8500,3587600
2018-07-20,197.0000,197.6600,196.4600,196.7800,4076609
2018-07-19,200.3500,200.9554,197.3000,197.4900,4670750
2018-07-18,195.5000,201.4000,195.3500,200.4400,10469557
2018-07-17,192.0000,192.1900,190.2700,190.4100,3724974
2018-07-16,190.7000,192.2300,190.7000,192.0000,2626721
2018-07-13,189.7700,191.2922,189.1300,190.9600,2694638
2018-07-12,190.9000,190.9900,188.9100,189.9600,3040839
2018-07-11,188.7300,190.6400,188.5600,189.9100,3343082
2018-07-10,189.7500,190.6150,189.1500,189.9000,2685549
2018-07-09,188.1100,189.8200,187.8200,189.6400,3504687
2018-07-06,187.5000,188.6900,186.5200,187.5600,2818783
2018-07-05,187.0700,187.6300,186.2300,187.5000,3310188
2018-07-03,188.4600,188.7300,185.7200,186.0200,2031235
2018-07-02,186.0900,188.1000,185.9700,187.8300,3521309
2018-06-29,188.4600,189.2800,186.2900,186.6500,5185678
2018-06-28,185.4300,187.9400,185.1600,187.0900,4218540
2018-06-27,186.5000,187.8900,184.7459,184.9100,4451324
2018-06-26,186.5200,187.6200,185.7800,186.4400,4324570
2018-06-25,188.6300,188.8300,185.1800,186.7300,6062388
2018-06-22,190.0000,190.4800,188.6600,188.9100,6996675
2018-06-21,189.0500,189.8400,187.9700,188.8600,4977941
2018-06-20,190.4700,190.8900,189.2000,189.5000,5234195
2018-06-19,190.0500,191.1800,189.3500,190.3500,4035321
2018-06-18,190.6400,191.3599,189.9100,191.1100,3773753
2018-06-15,192.2800,192.5000,190.5200,191.7600,7340985
2018-06-14,194.9200,195.0000,192.0400,192.5000,4947205
2018-06-13,195.1300,196.0000,194.2600,194.5500,3704879
2018-06-12,195.9700,195.9900,194.7100,195.2700,3046955
2018-06-11,196.3000,196.7400,195.1900,195.3300,3465573
2018-06-08,195.3400,196.4000,194.2700,196.0100,3757799
2018-06-07,194.6600,195.6800,193.7461,195.5700,4340317
2018-06-06,191.6900,194.0000,191.5650,193.9900,4017540
2018-06-05,191.3700,191.3972,190.1400,190.7700,4324975
2018-06-04,193.0000,193.4100,191.2500,191.3000,4444482
2018-06-01,192.9000,193.3800,191.5900,192.2300,3817848
2018-05-31,194.2900,194.2900,191.4200,191.5300,5787487
2018-05-30,191.9000,194.9000,191.3300,194.1000,4307609
2018-05-29,192.9000,193.1100,188.6200,189.8700,8912129
2018-05-25,193.8900,194.7500,193.2100,194.1500,3030970
2018-05-24,196.0600,196.2600,193.9237,194.8300,3206249
2018-05-23,197.4000,197.7100,194.9500,195.9500,4036274
2018-05-22,198.0200,198.8900,197.1800,198.1300,3161987
2018-05-21,197.7700,198.6300,197.0100,197.9100,3005541
2018-05-18,197.5200,197.6400,195.7700,196.0600,3137104
2018-05-17,197.7400,197.8500,196.6200,197.4900,2604169
2018-05-16,196.8600,198.3800,196.4000,197.8300,2927443
2018-05-15,198.7900,198.9300,196.1800,197.3600,3380004
2018-05-14,200.0000,200.6500,198.6600,199.1800,3264616
2018-05-11,200.6200,202.4100,198.9000,199.3000,3917729
2018-05-10,200.4300,201.2900,198.9200,201.2000,2957327
2018-05-09,197.0000,200.0500,196.2800,199.8700,3290630
2018-05-08,197.4000,197.4000,194.7000,196.2400,4189565
2018-05-07,196.0000,197.8200,195.7600,197.0600,3692135
2018-05-04,192.0400,196.2400,190.1900,195.6400,4919141
2018-05-03,192.8100,192.9900,189.8000,191.6100,5059371
2018-05-02,195.0700,195.0700,192.9800,193.3100,3885522
2018-05-01,193.7600,195.3000,192.7500,195.1100,3235029
2018-04-30,197.3900,198.1000,193.6200,193.7300,4247470
2018-04-27,196.9300,197.5500,195.8300,197.2300,2558931
2018-04-26,196.6300,197.9600,196.2400,197.0300,2388500
2018-04-25,196.1800,197.3600,194.4100,196.8000,3199213
2018-04-24,199.8700,200.6600,195.2300,196.8000,3718236
2018-04-23,200.2200,200.8400,198.5200,199.4200,2672644
